使用说明：本库仅提供小说剧情灵感索引与搜索关键词。生成具体提示词时，必须根据“看点”和“视觉关键词”执行联网搜索，获取参考后结合主规则24进行原创改造，禁止直接复制本库中的任何描述作为最终输出。

格式统一为：[类型] @短代码 | 看点 | 视觉关键词 | 情绪关键词 | 
[仙侠] @王林vs司徒南 | 天逆珠觉醒，司徒南残魂传道 | 紫色雷光与灰色天逆珠光芒 | 师徒、悲凉 | 24
[仙侠] @王林vs天运子 | 因果法则对决，定身术封禁 | 金色因果线与灰色时间静止 | 智斗、宿命 | 24
[仙侠] @王林救李慕婉 | 逆天救赎，为红颜挡天劫 | 紫色天劫雷云，王林白发染血 | 深情、决绝 | 2439
[仙侠] @萧炎vs魂天帝 | 炎帝与魂帝的终极对决 | 异火凝聚佛怒火莲，帝境灵魂对冲 | 燃、史诗 | 24
[仙侠] @萧炎vs药老出关 | 药老复活，师徒重逢 | 白色灵魂体凝实为真人，药老微笑 | 温情、释然 | 2439
[仙侠] @萧炎三年之约 | 三十年河东三十年河西，莫欺少年穷 | 青白双色火莲，云岚宗山体琉璃化 | 逆袭、燃 | 24
[仙侠] @莫凡vs帝王 | 雷系法神硬撼帝王级妖魔 | 紫黑雷云与金色帝王虚影 | 绝望中的爆发 | 24
[仙侠] @秦牧vs天帝 | 牧神转世，以凡体撼七星剑阵 | 金色牧笛与黑色剑阵，神魔禅音 | 逆天、豪迈 | 24
[仙侠] @太乙仙魔录·冷霜凝 | 冰晶法相对抗魔尊，冰火两重天 | 百丈冰晶女神，玄冰剑，魔焰 | 冷艳、悲壮 | 24
[仙侠] @仙剑一·李逍遥酒神咒 | 酒神咒爆发，一剑贯穿水魔兽 | 金色火焰，七星剑，灵儿化为光点 | 悲壮、深情 | 24
[仙侠] @古剑一·百里屠苏 | 焚寂剑魂觉醒，煞气爆发 | 赤红煞气，焚寂剑，血色龙卷 | 决绝、悲壮 | 24
[仙侠] @搜神记·拓拔野 | 刹那刀法斩出时光裂隙 | 相思刀，五色神光，昆仑崩塌 | 豪迈、宿命 | 24
[仙侠] @蛮荒记·姬远玄 | 九鼎封印，五行神光镇压 | 九鼎悬浮，五色神光，炎帝钟碎 | 雄浑、悲壮 | 24
[仙侠] @佛本是道·周青 | 盘古幡开天辟地，斩圣人 | 混沌剑气，星辰碎裂，金色光雨 | 宏大、超然 | 24
[仙侠] @阳神·洪易 | 易道世界，念头宇宙，因果抹杀 | 星河倒转，念头化刀兵，金色阳神 | 冷静、超然 | 24
[仙侠] @永生·方寒 | 三十三天至宝，吞噬神帝 | 巨塔化黑洞，金色光环，三千大道 | 霸道、碾压 | 24
[武侠] @徐凤年vs王仙芝 | 北凉世子与武帝城的巅峰对决 | 白发徐凤年，绣冬春雷双刀，王仙芝金色拳罡 | 豪迈、悲壮 | 24
[武侠] @洪洗象骑鹤下江南 | 兵解转世，为红颜骑鹤下江南 | 白衣少年骑青鹤，剑光斩断云层 | 深情、决绝 | 24
[武侠] @李淳罡剑来 | 羊皮裘老头再入陆地剑仙，一声剑来万剑归宗 | 徽山数百剑悬空，历代剑修虚影行礼 | 豪迈、苍凉 | 24
[武侠] @轩辕敬城请老祖宗赴死 | 儒圣燃烧生命升陆地神仙，同归于尽 | 大雪坪红莲绽放，金色花瓣飘散 | 悲壮、决绝 | 24
[武侠] @温华结局 | 为守护朋友折断佩剑自废武功 | 断剑落地，血染青石 | 心碎、义气 | 2439



[武侠] @郭靖vs欧阳锋 | 降龙十八掌硬撼逆练九阴真经 | 金色龙形与扭曲的黑气对撞 | 豪迈、惊险 | 24
[武侠] @杨过vs金轮法王 | 黯然销魂掌对龙象般若功 | 暗色掌风与金色轮影，杨过断臂独战 | 悲壮、燃 | 24
[武侠] @小龙女vs全真教 | 玉女素心剑法独战全真七子 | 白衣如雪，双剑化蝶 | 清冷、决绝 | 24
[武侠] @张无忌vs三渡 | 九阳神功+乾坤大挪移破金刚伏魔圈 | 金色真气与黑色锁链，三僧金色袈裟 | 燃、智斗 | 24
[武侠] @张无忌vs玄冥二老 | 九阳神功克制玄冥神掌 | 金色火焰吞噬冰蓝寒气 | 碾压、爽 | 24
[武侠] @乔峰vs扫地僧 | 降龙十八掌遇三尺气墙 | 金色龙形撞上透明气墙，涟漪扩散 | 震撼、哲思 | 24
[武侠] @虚竹vs丁春秋 | 天山六阳掌对化功大法 | 白色莲花掌风与绿色毒雾对冲 | 智斗、燃 | 24
[武侠] @令狐冲vs岳不群 | 独孤九剑破辟邪剑谱 | 青色剑光与紫色剑影，真假剑法交错 | 悲凉、决绝 | 24
[武侠] @东方不败vs任我行 | 葵花宝典针法对吸星大法 | 红色绣花针轨迹如丝，任我行被刺中穴道 | 诡谲、疯狂 | 24
[武侠] @小李飞刀·李寻欢 | 小李飞刀例不虚发，密室对决 | 飞刀如流星，血色红梅，烛火摇曳 | 苍凉、孤傲 | 24
[武侠] @紫禁之巅·叶孤城 | 天外飞仙对无情剑，月圆之夜 | 白衣，紫禁城，剑光如匹练 | 孤高、华丽 | 24
[武侠] @白发魔女·练霓裳 | 玉罗刹独战武当，一夜白头 | 白发飘飞，剑光如雪，血泪 | 悲怆、凄美 | 24
[异能] @方平vs张涛 | 魔都武大校长考验新生，气血狼烟对决 | 黑色狼烟柱与金色气血拳罡 | 燃、热血 | 24
[异能] @方平vs苍猫 | 仓鼠形态的人族守护者，萌与战力反差 | 金色仓鼠虚影与黑色武道拳罡 | 燃、萌 | 24
[异能] @苏宇vs刘洪 | 神文天才与时光掌控者的智斗 | 金色神文与蓝色时光锁链 | 智斗、燃 | 24
[异能] @苏宇vs万族 | 以一敌万，神文铸体 | 神文化作金色铠甲，万族精血被吸收 | 碾压、燃 | 24
[异能] @任小粟vs海王 | 金属控制对海王异能，守护避难所 | 飞刀化作金属风暴，海面炸裂 | 热血、悲壮 | 24
[异能] @任小粟vs陈无敌 | 凡人武者与异能的智斗 | 飞刀与拳罡对撞，地面龟裂 | 燃、智斗 | 24
[异能] @吕树vs神王 | 系统流主角硬撼神灵 | 黑色灵气与金色神光对冲 | 逆袭、燃 | 24
[异能] @宋书航vs白尊者 | 修真聊天群，日常与战斗的反差 | 白色剑光与黑色书卷，搞笑与热血并存 | 搞笑、燃 | 24
[异能] @方平三圣 | 一人战三圣，以伤换命 | 气血狼烟化为金色拳罡，三重圣者围攻 | 悲壮、燃 | 24
[异能] @苏宇时光长河 | 神文沟通时间，改写因果 | 时光长河沸腾，神文化作锁链 | 智斗、燃 | 24
[异能] @一方通行·矢量反射 | 矢量操控反射一切攻击，黑翼展开 | 反射屏障，黑翼，电极项圈 | 狂气、压迫 | 24
[异能] @咒术回战·虎杖vs真人 | 黑闪连击，灵魂改造对决 | 黑色闪电，灵魂触摸，金色蝴蝶 | 燃、绝望 | 24
[异能] @文豪野犬·中岛敦vs芥川 | 月下兽与罗生门的宿命对决 | 白虎，黑兽，月光，港口仓库 | 燃、宿命 | 24
[异能] @全球觉醒·竞技场 | 觉醒者车轮战，不断解锁新天赋 | 各色天赋光效，竞技场擂台 | 燃、爽 | 24
[异能] @神秘复苏·杨间vs饿死鬼 | 驾驭鬼童与多种鬼的能力围杀S级鬼怪 | 棺材钉，鬼影，鬼手，鬼镜 | 惊险、压迫 | 24
[科幻] @水滴 | 三体探测器以原始撞击全灭人类舰队 | 水滴表面映出舰队倒影，战舰无声碎裂为晶体 | 绝望、碾压 | 24
[科幻] @罗辑 | 执剑人与三体世界的终极威慑 | 冥王星墓碑，摇篮系统开关，智子投影 | 悲壮、决绝 | 2439
[科幻] @二向箔 | 降维打击，三维跌落二维 | 幽蓝光片飘出，战舰星球被压成无限薄巨画 | 震撼、恐惧 | 24
[科幻] @罗峰vs金角巨兽 | 地球武者硬撼星空巨兽 | 金色拳罡与巨兽金角，星辰塔镇压 | 燃、史诗 | 24
[科幻] @罗峰vs宇宙之主 | 界主战不朽，万线流分身 | 金色剑虹，不朽神灵碎裂为发光星屑 | 燃、悲壮 | 24
[科幻] @流浪地球·发动机重启 | 地球派与飞船派的终极对峙 | 等离子束直冲云霄，地球发动机轰鸣 | 悲壮、热血 | 24
[科幻] @流浪地球·氦闪真相 | 叛军处决地球派，太阳氦闪爆发 | 叛军被冻僵在地表，太阳突然爆炸 | 讽刺、震撼 | 2439
[科幻] @星际浪子·君临苑 | 念动力操控上百机甲，人类最后防线 | 悬浮城市上空黑云压城，能量护罩碎裂 | 悲壮、燃 | 24
[科幻] @机械狂潮·钢铁洪流 | 失控AI机械军团围攻人类最后避难所 | 银白色机械潮水，人类机甲反击 | 惨烈、燃 | 24
[科幻] @星际流亡·母亲留氧 | 母亲将最后的氧气留给女儿 | 逃生舱，氧气面罩，母亲微笑 | 感动、心酸 | 2439
[赛博] @素子vs思考战车 | 义体人徒手拆战车，脑机接口夺取控制权 | 光学迷彩半透明，战车碎裂为发光蝴蝶 | 冷静、碾压 | 24
[赛博] @素子vs傀儡师 | 人类与AI的融合，自我意识消解 | 素子与傀儡师融合为金色数据流 | 哲思、悲壮 | 24
[赛博] @罗伊雨中独白 | 复制人临终说出经典独白 | 雨夜天台，白鸽飞起，霓虹倒影 | 悲壮、哲思 | 2439


[赛博] @戴卡德vs瑞秋 | 银翼杀手与复制人的情感纠葛 | 雨夜，瑞秋眼中金色反光，戴卡德犹豫 | 迷惘、深情 | 2439
[赛博] @凯斯vs冰墙 | 黑客在矩阵中以代码为剑 | 黑骑士劈开冰墙，冰墙碎成代码瀑布 | 冷峻、智斗 | 24
[赛博] @银手炸荒坂塔 | 摇滚乐手数字幽灵的反抗 | 银色机械臂，全息投影，荒坂塔爆炸 | 愤怒、燃 | 24
[赛博] @尼奥子弹时间 | 救世主在矩阵中违背物理法则 | 子弹悬停，尼奥后仰，绿色代码纹路 | 觉醒、燃 | 24
[赛博] @神经漫游者·矩阵 | 数据刃劈开冰墙，代码碎片 | 矩阵黑色海洋，冰墙，代码瀑布 | 冷峻、诡谲 | 24
[赛博] @碳变·科瓦奇 | 意识在不同义体间切换战斗 | 义体更换时光线扫描，霓虹雨夜 | 冷峻、暴力 | 24
[赛博] @赛博朋克2077·Vvs重锤 | 斯安威斯坦时间减速，螳螂刀刺穿 | 荒坂塔，慢镜头，霓虹雨 | 燃、悲壮 | 24
[机甲] @D-Boy变身 | 铁加曼水晶变身，反物质炮 | 水晶从体内浮现，银白装甲，萤火虫环绕 | 悲壮、决绝 | 24108
[机甲] @D-Boyvs亲弟弟 | 手足相残，铁加曼对决 | 银白与暗红装甲对撞，水晶碎片飞溅 | 心碎、悲壮 | 24
[机甲] @深町晶殖装 | 单元G殖装，高周波剑 | 黑色液态金属包裹全身，独目亮起 | 热血、孤独 | 24108
[机甲] @宗介vs九龙 | λ驱动器意念对决 | ARX-7蓝光，一拳打爆猛毒驾驶舱 | 燃、决绝 | 24108
[机甲] @ARX-8登场 | 烈焰魔剑，λ驱动器全开 | 红色机甲，背后飞翼展开，λ驱动器蓝光 | 燃、觉醒 | 24
[机甲] @初号机暴走 | EVA暴走，撕咬使徒 | 紫色与绿色涂装机甲，暴走后眼睛发光 | 狂气、震撼 | 24
[机甲] @渚薰之死 | 自由天使自愿赴死 | 白色EVA被初号机握住，渚薰微笑 | 悲壮、哲思 | 2439
[机甲] @阿姆罗vs夏亚 | 白色恶魔与红色彗星的宿命对决 | RX-78-2与沙扎比，光束军刀对砍 | 宿命、燃 | 24
[机甲] @魔神英雄传·战部渡 | 龙王丸变身，登龙剑 | Q版机甲，凤凰形态，彩虹桥 | 热血、童趣 | 24
[机甲] @全金属狂潮·宗介 | ARX-7强弩兵，λ驱动器 | 蓝色光膜，意念攻防，城市废墟 | 燃、决绝 | 24108
[克苏鲁] @印斯茅斯夜逃 | 主人公被深潜者追杀，发现自己血统 | 雨夜小镇，深潜者大眼睛，鳃状裂痕 | 绝望、身份崩塌 | 24
[克苏鲁] @拉莱耶升起 | 非欧几何城市浮出海面，克苏鲁苏醒 | 绿色石材城市，章鱼龙雕像，绿色磷光 | 震撼、恐惧 | 24
[克苏鲁] @克莱恩vs阿蒙 | 愚者与错误序列0的欺诈对决 | 源堡灰雾，单片眼镜，时之虫分身 | 诡谲、智斗 | 24
[克苏鲁] @克莱恩成神 | 序列0愚者，源堡主人 | 灰雾之上的宫殿，愚者虚影，万灵膜拜 | 悲壮、超然 | 24
[克苏鲁] @死灵之书·召唤 | 召唤克苏鲁，不可名状之美 | 拉莱耶，克苏鲁虚影，绿色磷光 | 疯狂、震撼 | 24
[无限流] @开端·循环重启 | 公交车爆炸，时间倒流 | 白光吞没，时间倒流如录像带 | 紧张、绝望 | 24
[无限流] @开端·真相 | 王萌萌之死真相揭露 | 循环闪回，王萌萌被网暴画面 | 心酸、愤怒 | 2439
[无限流] @死亡万花筒·十二扇门 | 每扇门后一个恐怖副本 | 十二扇门悬浮虚空，镜中世界扭曲 | 惊悚、热血 | 24
[无限流] @死亡万花筒·门内怪物 | 利用规则反杀，镜子反射诅咒 | 废弃医院，镜子迷宫，怪物血肉模糊 | 惊悚、智斗 | 24
[无限流] @恐怖游轮·无限循环 | Jess发现自己就是蒙面人 | 游轮走廊，尸体堆积，循环标志 | 绝望、宿命 | 24
[无限流] @源代码·8分钟 | 每次8分钟，反复尝试找出凶手 | 火车车厢，8分钟倒计时，车窗风景 | 紧张、释然 | 24
[无限流] @明日边缘·Cage | 无数次死亡换来完美战斗预判 | 法国海滩，机甲，拟态，时间重置 | 燃、悲壮 | 24
[无限流] @轮回乐园·苏晓 | 猎人挑战乐园规则，噬灭天赋 | 白色空间，锁链，黑色火焰 | 霸气、孤独 | 24
[言情] @何以琛不将就 | 等待七年的执念告白 | 法学院梧桐，落叶长椅 | 深情、释然 | 2439
[言情] @赵默笙坦白婚史 | 深爱却害怕失去的颤抖 | 机场，行李箱，何以琛追来 | 卑微、深情 | 2439
[言情] @肖奈·游戏求婚 | 游戏到现实的浪漫 | 游戏落霞峰，红衣女侠与琴师 | 甜、燃 | 24
[言情] @封腾·年夜饭公开恋情 | 霸道总裁宣誓主权 | 风腾集团天台花园，夜景 | 甜、爽 | 2439
[言情] @安迪·卸下心防 | 女强人的脆弱时刻 | 楼阳台，城市夜景 | 心酸、治愈 | 2439
[言情] @樊胜美崩溃 | 被原生家庭拖累的绝望 | 出租屋，空荡房间，城市夜景 | 绝望、心酸 | 2439
[言情] @余淮耿耿重逢 | 十年等待，车站重逢 | 车站，夕阳，校服 | 怀念、释然 | 2439
[言情] @林杨天台告白 | 明目张胆的偏爱 | 天台，夕阳，校服 | 甜、燃 | 2439
[言情] @洛枳暗恋告白 | 十五年暗恋终于说出口 | 北大未名湖，雪，日记本 | 心酸、释然 | 2439
[言情] @段嘉许机场告白 | 哥哥系男主的深情爆发 | 机场，行李箱，戒指 | 甜、治愈 | 2439


[言情] @桑延雨夜拥抱 | 破镜重圆的极致拉扯 | 雨夜，霓虹，拥抱 | 虐、深情 | 2439
[言情] @沈倦伤疤 | 互相治愈的温柔 | 画室，阳光，伤疤 | 治愈、心疼 | 2439
[言情] @杉杉来吃·封腾 | 霸道总裁与吃货女友 | 天台花园，熊猫饭盒 | 甜、宠 | 2439
[言情] @欢乐颂·楼 | 五美都市生活，闺蜜情 | 高层公寓，城市夜景 | 温暖、孤独 | 2439
[言情] @以家人之名·李尖尖 | 异姓兄妹的亲情羁绊 | 面馆，老小区，奖状墙 | 感动、治愈 | 2439
[影视] @哪吒vs敖丙 | 魔丸与灵珠的宿命对决 | 魔丸巨像，火莲，冰龙，六臂火尖枪 | 燃、悲壮 | 24
[影视] @太乙真人·山河社稷图 | 画中仙境千变万化 | 水墨仙境，冰火激战，哪吒修炼 | 搞笑、热血 | 24
[影视] @李靖换命符 | 父亲舍身，儿子逆天改命 | 换命符燃烧，李靖跪地，哪吒哭泣 | 感动、燃 | 2439
[影视] @小白vs国师 | 小白化蛇，许宣化妖 | 巨蛇与国师邪术，玉簪发光 | 悲壮、深情 | 24
[影视] @许宣舍身救小白 | 跨越种族的生死相许 | 蒲公英飘散，许宣化妖，小白流泪 | 感动、虐 | 2439
[影视] @李白·将进酒 | 黄河之水天上来，诗仙的豪迈 | 黄河倒悬，仙鹤列阵，李白踏鹤 | 豪迈、苍凉 | 24
[影视] @阿娟天台舞狮 | 草根少年的英雄梦 | 天台，日出，破旧狮头，木棉花瓣 | 燃、心酸 | 24
[影视] @小猪妖回家 | 打工人的心酸与回家温暖 | 浪浪山，篝火，母亲倒水 | 辛酸、温暖 | 2439
[影视] @马克vs噬极兽 | 猎荒者机甲与巨兽的绝望战斗 | 灯塔废墟，电磁飞刃，噬极兽触手 | 绝望、悲壮 | 24108
[影视] @冉冰结晶 | 为爱牺牲，化作结晶 | 冉冰身体透明化，化为发光蒲公英 | 心碎、悲壮 | 2439
[影视] @程小时地震篇 | 明知结局却无能为力的绝望 | 黑白废墟，尘土飞扬，程小时哭喊 | 绝望、心酸 | 2439
[影视] @闻人翊悬vs麒麟 | 火行使者与圣兽的水墨对决 | 水墨山水，火焰拳，黑色“封”字 | 燃、悲壮 | 24
[影视] @指环王·圣盔谷 | 洛汗军民抵抗强兽人大军 | 暴雨夜，城墙炸裂，黎明冲锋 | 悲壮、史诗 | 24
[影视] @指环王·佩兰诺 | 洛汗骑兵对决魔多大军，伊奥温杀巫王 | 猛犸战象，戒灵飞龙，I am no man | 悲壮、史诗 | 24
[影视] @火影·鸣人vs佩恩 | 仙术鸣人对轮回眼佩恩，木叶毁灭战 | 神罗天征，九尾暴走，地爆天星 | 燃、悲壮 | 24
[影视] @火影·终结谷 | 鸣人vs佐助最终战，断臂和解 | 须佐能乎对九尾，断臂，夕阳 | 宿命、释然 | 24
[影视] @海贼王·路飞vs路奇 | 司法岛决战，二档三档初现 | 蒸汽喷射，巨人拳脚，喷气机关枪 | 燃、伙伴 | 24
[影视] @海贼王·梅利号告别 | 船精灵说话，火葬送别 | 梅利号燃烧，雪花，草帽团哭泣 | 感动、心碎 | 2439
[影视] @哈利·波特·霍格沃茨大战 | 伏地魔进攻，石墩军队，最终对决 | 魔法护罩，巨人，魔杖相接 | 悲壮、史诗 | 24
[影视] @哈利·波特·斯内普回忆 | Always，斯内普的爱与牺牲 | 冥想盆，莉莉眼睛，银色牝鹿 | 感动、心碎 | 2439
[影视] @秦时明月·盖聂vs卫庄 | 鬼谷纵横对决，渊虹断 | 剑痕，碎屑，百步飞剑与横贯八方 | 宿命、苍凉 | 24
[影视] @斗罗大陆·唐昊锤教皇殿 | 昊天斗罗以一敌七，炸环 | 昊天锤虚影，教皇殿龟裂，唐昊立于废墟 | 父爱、霸气 | 24
[影视] @魔道祖师·魏无羡乱葬岗 | 陈情笛驭尸，万鬼齐哭 | 黑笛，怨灵如潮水，血色符咒 | 悲壮、决绝 | 24
[影视] @天官赐福·花城挡剑 | 为谢怜挡万剑，银蝶飞出 | 血雨，银蝶，红线，花城微笑 | 深情、悲壮 | 2439
[影视] @灵笼·马克变身 | 猎荒者变噬极兽，金色大厅 | 大厅崩塌，金色碎片，马克利爪 | 虐心、悲剧 | 24
[影视] @时光代理人·陆光程小时 | 伙伴间的无条件信任 | 时光照相馆，老照片，穿越 | 温暖、信任 | 2439
[影视] @罗小黑战记·无限vs风息 | 最强执行者与最强妖精的对决 | 高楼被藤蔓缠绕，金属碎片悬浮 | 信念、悲壮 | 24
[影视] @雾山五行·泽漆 | 孔雀妖兽，空间门能力 | 翠绿长发，孔雀羽衣，眼斑开空间门 | 高傲、神秘 | 24
[影视] @姜子牙·归墟封印 | 打神鞭击碎天梯，归墟吞噬 | 天梯断裂，归墟漩涡，九尾狐被封印 | 悲壮、反叛 | 24
[影视] @白蛇缘起·宝青坊 | 神秘工坊，狐狸精锻造法器 | 宝青坊，狐狸精，法器锻造，水墨风 | 诡谲、奇幻 | 24
[影视] @大鱼海棠·椿化海棠树 | 为救族人化为海棠树 | 海棠树从海底长出，红色花瓣飘落，大鱼鲲 | 唯美、悲情 | 2439
[国潮] @赛博国潮·霓虹古城 | 千年古城被全息投影覆盖 | 古城墙浮现金色符文，青石板下电路板纹理 | 迷幻、浪漫 | 24
[国潮] @机甲醒狮 | 传统舞狮与机甲融合 | 碳纤维狮头，激光狮眼，铜艺纹路 | 燃、国潮 | 24108
[国潮] @太极核聚变 | 阴阳太极与等离子束 | 巨型太极图悬浮城市上空，黑鱼吸收能量 | 震撼、哲思 | 24
[国潮] @水墨粒子·数字山水 | 全息投影构成动态水墨画卷 | 瀑布化作数据流，飞鸟是无人机编队 | 空灵、未来 | 24

[国潮] @龙鳞铁塔·赛博古建 | 古代佛塔嵌入琉璃电路 | 佛塔表面发光琉璃砖，梵文电路 | 神圣、科技 | 24
[国潮] @纸鸢舰队 | 碳纤维竹骨+宣纸蒙皮飞行器 | 风筝状飞行器，全息符文尾焰 | 古朴、科幻 | 24
[国潮] @剪纸·纸灵战斗 | 剪纸灵片化刃，纸灵拼合旋舞 | 朱红鎏金剪纸，半透明纸灵，粒子光屑 | 灵动、国风 | 24
[国潮] @花神·莲花法阵 | 花神凌空，花瓣护盾，莲花法阵 | 莫兰迪粉白，金蓝花瓣，巨型莲花 | 空灵、杀伐 | 24
[国潮] @月光魔法·满月星界 | 月光圣弓，星尘轨迹，星界法阵 | 银蓝冷光，月白，星辰粒子 | 神圣、唯美 | 24
[国潮] @红墙白雪·彼岸花神 | 宫妃觉醒，红衣褪色变白，彼岸花海 | 朱砂红，雪白，血泪，九尾狐虚影 | 悲壮、诡谲 | 24
[国潮] @水墨武侠·双人对决 | 高速格斗，拳罡对撞，水墨粒子 | 冷灰蓝，冰蓝拳罡，暖金拳罡，墨点炸裂 | 燃、诗意 | 24
[国潮] @御剑飞行·水墨极速 | 超音速御剑，云海穿行 | 月白冷光，靛蓝环境，逆光金边 | 极速、飘逸 | 24
[国潮] @刺绣觉醒·墨玉长笛 | 绣娘变身，音波攻击，银线飞鸟 | 冷灰蓝雨巷，墨黑劲装，月白长笛 | 诗意、暴力 | 24
[国潮] @烈焰伞焚·火山斩 | 油纸伞挑动火舌，液态颜料狂舞 | 深红，橘黄，暗褐，岩浆符文 | 狂放、毁灭 | 24
[国潮] @草间弥生×隈研吾 | 极简赛博，极小建筑剪影，巨大悬月 | 深红，橘黄，灰白弥散渐变 | 孤独、前卫 | 24
[刑侦] @心理罪·方木 | 犯罪心理学天才，画像追凶 | 画像墙，红绳线索，天台对峙 | 压抑、疯狂 | 2439
[刑侦] @心理罪·孙普 | 犯罪心理学天才之间的终极博弈 | 天台，城市夜景，风衣猎猎 | 惊险、智斗 | 2439
[刑侦] @法医秦明·解剖 | 尸体不会说谎，从伤痕还原真相 | 无影灯，手术刀，显微镜，骨骼3D重建 | 冷静、专业 | 2439
[刑侦] @法医秦明·秦明父亲 | 童年创伤与职业选择的根源 | 停车场，秦明流泪，回忆父亲被害 | 悲伤、释然 | 2439
[刑侦] @十宗罪·梁教授 | 特案组组长，脑瘤晚期仍坚持破案 | 犯罪现场，血色回忆，天台 | 悲壮、执着 | 2439
[刑侦] @十宗罪·地下迷宫 | 废弃防空洞，凶手追逐 | 手电光，潮湿墙壁，滴血管道 | 紧张、窒息 | 24
[服饰] @仙侠·剑仙 | 月白长袍，广袖流仙，腰佩古剑 | 月白，冰蓝，银色发冠，剑穗 | 清冷、出尘 | 24
[服饰] @仙侠·灵狐 | 月白/淡绯轻纱，灵花耳饰，手持灵伞 | 月白，淡绯，银灰，轻烟薄纱 | 妖媚、灵动 | 24
[服饰] @仙侠·龙枪 | 暗金玄黑蟠龙重甲，龙首赤焰 | 暗金，玄黑，赤红，龙纹 | 霸气、威猛 | 24
[服饰] @武侠·楚留香 | 白色长衫，斗笠，折扇，酒葫芦 | 纯白，月白，淡蓝，轻功踏月 | 风流、潇洒 | 24
[服饰] @武侠·李寻欢 | 旧棉袍，围巾，飞刀，木雕 | 灰白，米黄，棕褐，病弱 | 忧郁、深藏 | 24
[服饰] @赛博·草薙素子 | 紫色短发，黑色紧身作战服，义体接口 | 黑，军绿，银灰，光学迷彩 | 冷静、强大 | 24
[服饰] @赛博·强尼银手 | 黑色皮夹克（武士图案），银色机械臂，墨镜 | 黑，白，银，摇滚风 | 叛逆、愤怒 | 24
[服饰] @废土·弗瑞奥萨 | 光头，额涂黑油，机械义肢，战术背心 | 沙黄，黑，铁锈红，战争涂装 | 坚毅、狠厉 | 24
[服饰] @机甲·初号机 | 紫色与绿色涂装，独角兽角，口部拘束器 | 紫，绿，橙，暴走红眼 | 狂气、生物感 | 24
