使用说明：本库仅提供非物质文化遗产的灵感索引与搜索方向（短代码、关键词、情绪标签）。生成具体提示词时，必须根据“看点”和“视觉关键词”执行联网搜索，获取参考后结合主规则24进行原创改造，禁止直接复制库内任何描述作为最终输出。

主规则能够解析 [非遗] @京剧 | 看点 | 视觉关键词 | 情绪关键词 | 关联规则
[非遗] @婺剧 | 高腔昆腔乱弹徽戏滩簧，六大声腔，大花脸 | 红、黑、金，金袈裟，金钵 | 粗犷、热烈、古朴 | 24,162
[非遗] @绍剧 | 高亢激越，悟空戏（南猴王），大靠，铜锤花脸 | 金、红、黑，云雾山，金箍棒 | 高亢、爽朗、灵动 | 24,162
[非遗] @徽剧 | 徽班之源，吹腔拨子，青阳腔，华丽行头 | 红、绿、金，水旗，水浪特效 | 雄浑、古朴、华丽 | 24,161
[非遗] @赣剧 | 高腔弹腔，饶河调，弋阳腔遗响，古朴粗犷 | 暗红、黑、白，草桥，飞雪 | 悲怆、古朴 | 24,22
[非遗] @湘剧 | 高腔低牌子昆腔弹腔，长沙官话，湘西风韵 | 淡粉、青、白，吊脚楼，月光 | 婉转、清新 | 24
[非遗] @汉剧 | 西皮二黄之源，楚调，十大行当，湖广音 | 红、黑、金，汉代宫阙，硬光 | 悲愤、激昂 | 24,162
[非遗] @潮剧 | 帮腔，丑角丰富，绣袍，潮绣，工夫茶道具 | 粉、金、绿，潮汕祠堂石雕，暖光 | 细腻、温婉、诙谐 | 24
[非遗] @桂剧 | 弹腔高腔昆腔彩调，桂林山水，壮锦元素 | 青、绿、白，桂林山水，明快 | 明快、活泼 | 24
[非遗] @滇剧 | 丝弦襄阳胡琴，少数民族元素，大理白族服饰 | 白、红、蓝，蝴蝶泉，异域 | 清新、民族 | 24
[非遗] @藏戏 | 面具（蓝面白面），神舞，长袖，法号鼓钹 | 蓝、白、金、红，雪山经幡，庄严 | 庄严、神秘 | 24,161,22
[非遗] @闽剧 | 福州戏，逗腔软平江湖洋歌，椰胡逗管 | 淡青、白，三坊七巷马鞍墙，茉莉花 | 典雅、清新 | 24
[非遗] @莆仙戏 | 宋元南戏活化石，傀儡介步伐，目连戏，兴化腔 | 素色、黑、白，古谯楼，木构 | 古朴、醇厚 | 24,162
[非遗] @梨园戏 | 最古老剧种，七子班，压脚鼓，泉腔，唐宋古乐谱 | 淡粉、白，开元寺古塔，暖黄光 | 古朴、典雅 | 24
[非遗] @高甲戏 | 丑角丰富（公子丑破衫丑），女丑，武打热闹 | 红、黑、白，闽南红砖古厝，燕尾脊 | 幽默、诙谐、热闹 | 24
[非遗] @芗剧 | 哭调，台湾杂念调，闽南语，改良服装 | 淡彩、粉、白，台湾淡水夕照，暖金 | 抒情、凄美 | 24,39
[非遗] @闽西汉剧 | 西皮二黄，客家元素，土楼背景，老旦戏 | 青、黑、白，永定土楼，夯土墙 | 古朴、浑厚 | 24
[非遗] @提线木偶 | 36根提线，悬丝傀儡，开关穿，泉州傀儡调 | 彩绘木偶，丝线，古戏台，逆光 | 精巧、神秘 | 24,108,163
[非遗] @布袋木偶 | 掌中戏，食指为头三指为臂，武打激烈 | 彩绘木偶，手部特写，漳州古厝 | 灵活、激烈 | 24,108
[非遗] @傩戏 | 驱鬼祭祀，木雕面具（凶神），黑衣红腰带，火把 | 黑、红、白，祠堂烛火，烟雾 | 神秘、肃穆、诡异 | 24,22,163
[非遗] @皮影戏 | 牛皮镂刻，透光影窗（白布），油灯，签子操控 | 暖黄光，镂空纹样，侧逆光，剪影 | 古朴、奇幻 | 24,22,163
[非遗] @道情戏 | 河南/山西，渔鼓简板，道教故事，说唱结合 | 蓝、白，乡村戏台，暖光 | 古朴、说唱、宗教 | 24
[非遗] @花鼓戏 | 湖南/湖北，锣鼓唢呐，生活小戏，丑旦为主 | 彩衣、红、绿，田间地头，自然光 | 活泼、幽默、乡土 | 24
[非遗] @采茶戏 | 江西/广东，茶歌发展，扇子手帕，采茶灯 | 粉、绿、白，茶园，柔光 | 清新、活泼、茶香 | 24
[非遗] @古琴 | 仲尼式/伏羲式，断纹（蛇腹/流水），丝弦，香炉 | 黑、棕、金，竹帘，文人抚琴，柔光 | 空灵、雅致、古韵 | 24,39
[非遗] @木卡姆 | 萨塔尔琴，手鼓，卡龙琴，艾德莱斯绸，十二木卡姆 | 彩绸，老城，暖黄夕照，逆光 | 热烈、欢庆、民族 | 24
[非遗] @长调 | 马头琴，草原，蒙古袍，蓝天白云，悠长颤音 | 蓝、白、绿，羊群，勒勒车，黄金时刻 | 旷野、悠远、空灵 | 24,39
[非遗] @剪纸 | 红色镂空，对称吉祥纹样，线条流畅 | 朱红、留白，锯齿纹，月牙纹 | 喜庆、精致、民俗 | 24
[非遗] @雕版印刷 | 红梨木雕版，反写阳文，棕刷上墨，覆纸拓印 | 红梨木、墨黑、宣纸白，侧光 | 古朴、匠心 | 24
[非遗] @云锦 | 金线银线，孔雀羽线，妆花，龙纹凤纹，五彩织金 | 金、红、蓝，厚重光泽，局部微距 | 华丽、皇家、繁复 | 24,161,163
[非遗] @端午 | 龙舟，粽子，艾草，菖蒲，屈原，五彩线 | 红、绿、白，江水，正午逆光，动态模糊 | 热烈、悲壮、民俗 | 24
[非遗] @针灸 | 银针，铜人穴位模型，艾灸烟雾，人体经络图 | 银、铜、白，侧光，医学氛围 | 严谨、神秘、治疗 | 24
[非遗] @节气 | 二十四节气物候，农耕生活，七十二候 | 自然色，四季变换，柔光 | 自然、诗意、轮回 | 24,22
[非遗] @太极拳 | 白衣太极服，抱球势，野马分鬃，晨练，公园 | 白、绿、金，晨光丁达尔，逆光剪影 | 空灵、禅意、养生 | 24,162
[非遗] @春节 | 春联，鞭炮，年夜饭，压岁钱，舞龙舞狮，庙会 | 红、金，暖黄光，喜庆热闹 | 喜庆、团圆、热烈 | 24
[非遗] @伊玛堪 | 赫哲族说唱史诗，鱼皮衣，桦皮帽，篝火 | 鱼皮色、棕、红，白桦林，夜晚篝火 | 神秘、壮烈、古朴 | 24,39
[非遗] @格萨尔 | 藏族英雄史诗，格萨尔王骑马，唐卡风格，高原雪山 | 金、红、蓝、白，唐卡金碧，逆光 | 史诗、庄严、雄浑 | 24,22,161
[非遗] @西安鼓乐 | 长安古乐，笙管笛箫，云锣，鼓铙钹，唐代服装 | 金、红、棕，石碑拓片，古谱符号 | 庄严、典雅、古朴 | 24
[非遗] @侗族大歌 | 无指挥无伴奏，多人多声部，侗族鼓楼，盛装银饰 | 银、蓝、黑，青山绿水，柔光 | 空灵、和谐、天籁 | 24,39
[非遗] @呼麦 | 一人双声，喉音震动，马头琴，草原篝火，蓝哈达 | 蓝、白、红，夜空银河，篝火 | 神秘、原始、力量 | 24,22
[非遗] @秧歌 | 东北/陕北/山东，高跷舞扇舞绸，十字步，唢呐锣鼓 | 红、绿、黄，村头广场，正午阳光 | 喜庆、热烈、欢快 | 24
[非遗] @锅庄 | 围圈歌舞，男女分队，长袖甩臂，踏足为节，篝火 | 彩袍、白、红，草原，夜晚篝火暖光 | 和谐、欢乐、雄浑 | 24
[非遗] @孔雀舞 | 模仿孔雀，长甲套，紧身长裙，三道弯体态，象脚鼓 | 绿、金、白，雨林，柔和晨光 | 优雅、灵动、圣洁 | 24,22,161
[非遗] @相声 | 长衫大褂，醒木，折扇，手绢，一桌一椅，逗哏捧哏 | 灰、黑、棕，茶馆，舞台光 | 幽默、机智、讽刺 | 24,39
[非遗] @评弹 | 吴语，琵琶三弦，男抱三弦女抱琵琶，长衫旗袍 | 淡彩、棕、白，苏州园林漏窗，柔光 | 精致、典雅、抒情 | 24,39
[非遗] @京韵大鼓 | 八角鼓，鼓板，三弦四胡，女艺人旗袍，击鼓打板 | 墨绿、棕、红，老舍茶馆，暖色聚光 | 慷慨、苍劲、传统 | 24
[非遗] @少林功夫 | 嵩山少林寺，武僧黄袈裟，拳术棍术，塔林练功 | 黄、灰、棕，逆光，动态模糊 | 阳刚、雄浑、禅武 | 24,161,162
[非遗] @武当武术 | 内家拳，太极拳形意拳八卦掌，以柔克刚，太极剑 | 青袍，武当山金顶，晨雾，逆光 | 飘逸、内劲、道法 | 24,161,162
[非遗] @峨眉武术 | 四川，女子拳法，枪法剑术，轻灵飘逸，峨眉刺 | 青衣白裙，峨眉山云海，逆光 | 轻灵、凌厉、刚柔并济 | 24,161,162
[非遗] @洪拳 | 广东，工字伏虎拳，虎鹤双形，铁线拳，声如雷 | 黑裤红带，南狮，练功桩，硬光 | 刚猛、洪亮、实战 | 24,162
[非遗] @蔡李佛拳 | 广东，攻防兼备，马步稳健，发声催力，咏春相关 | 黄衫黑裤，木人桩，拳架低，正午 | 威猛、实战、岭南 | 24,162
[非遗] @通背拳 | 北京/山西，放长击远，猿背，松肩探臂，冷弹脆快 | 灰衣，古槐，松影，晨光 | 舒展、鞭劲、巧力 | 24,162
[非遗] @戳脚 | 河北，腿法见长，鸳鸯脚，文趟武趟，铁脚功 | 黑裤，麦田，弓步，正午 | 刚烈、腿功、实战 | 24,162
[非遗] @精武武术 | 上海，霍元甲，精武体操会，迷踪拳，爱国尚武 | 精武装，精武馆，老照片，暖光 | 爱国、强身、尚武 | 24,162
[非遗] @咏春拳 | 广东，寸劲，黐手，木人桩，近身短打，中线理论 | 黑裤白衫，木人桩，室内，硬光 | 快速、紧凑、实用 | 24,162
[非遗] @八极拳 | 刚猛暴烈，崩肘，铁山靠，贴身短打，哼哈二气 | 黑衫，练功场，尘土，正午 | 刚猛、爆发、实战 | 24,162
[非遗] @形意拳 | 五行拳，十二形，半步崩拳，内外合一，钻劈崩炮横 | 灰衣，黄土，晨光，逆光 | 简洁、刚劲、直接 | 24,162
[非遗] @八卦掌 | 绕圈走转，掌法变换，步法灵活，推托带领 | 青衣，八卦图，柔光 | 灵动、变化、走转 | 24,162

[非遗] @红拳 | 陕西，武术拳种，撑补撑斩，以掌为主，关中红拳 | 灰衣，关中平原，正午 | 古朴、雄厚、实战 | 24,162
[非遗] @查拳 | 回族武术，弹腿，查滑拳，十路查拳，回回拳 | 白衣，清真寺，晨光 | 舒展、流畅、弹腿 | 24,162
[非遗] @华佗五禽戏 | 模仿虎鹿熊猿鸟，导引术，健身气功 | 白衣，林中，晨雾，柔光 | 仿生、养生、传统 | 24
[非遗] @易筋经 | 少林气功，十二式，强筋健骨，导引吐纳 | 黄袈裟，少林寺，晨光，逆光 | 禅武、养生、力量 | 24
[非遗] @八段锦 | 健身气功，八个动作，柔和缓慢，晨练，公园 | 白、绿，树林晨雾，侧逆光 | 宁静、养生、流畅 | 24
[非遗] @吴桥杂技 | 顶碗、转碟、走钢丝、柔术，彩衣，大棚演出 | 彩衣、红、蓝，舞台追光，高难度定格 | 惊险、刺激、精湛 | 24,162
[非遗] @蹴鞠 | 古代足球，皮革实心，宋代盛行，宫廷表演 | 棕、红，古代球场，正午阳光 | 竞技、传统、娱乐 | 24,162
[非遗] @射箭 | 蒙古/满族，角弓，扳指，骑射，射柳 | 木、棕、白，草原，逆光 | 英武、精准、传统 | 24,162
[非遗] @围棋 | 十九路棋盘，黑白棋子，棋笥，落子，对弈者沉思 | 黑、白、木色，古窗竹帘，侧光 | 静谧、智性、禅意 | 24,39
[非遗] @年画 | 木版套印，手工彩绘，娃娃抱鱼，门神，饱满构图 | 红、绿、黄、蓝，木版水印，手绘开脸 | 喜庆、饱满、民俗 | 24
[非遗] @杨柳青年画 | 天津杨柳青，木版套印，手工彩绘，娃娃抱鱼 | 红、绿、黄、蓝，传统民居大门 | 喜庆、饱满、民俗 | 24
[非遗] @桃花坞年画 | 苏州桃花坞，彩色套印，细腻工整，戏文故事 | 粉、绿、红，水乡，室内光 | 精细、雅致、民俗 | 24
[非遗] @绵竹年画 | 四川绵竹，浓墨重彩，门神，拓片 | 红、绿、黑，农家小院，自然光 | 浓烈、质朴、门神 | 24
[非遗] @泥人张 | 彩塑，粘土烧制，戏曲人物/市井小贩，造型夸张 | 彩绘，粘土本色，展柜暖光 | 生动、传神、幽默 | 24
[非遗] @东阳木雕 | 深浮雕多层镂空，樟木，花鸟戏曲，贴金或素木 | 木棕、金，祠堂梁枋，侧光突显层次 | 精致、繁复、庄严 | 24,161
[非遗] @景德镇瓷器 | 青花粉彩玲珑，高岭土，拉坯利坯，窑火，窑变 | 青花蓝、彩、白，作坊暖黄光 | 精美、工艺、窑火 | 24
[非遗] @龙泉青瓷 | 梅子青、粉青，厚釉如玉，无纹或冰裂纹，哥窑开片 | 青绿、粉青，极简背景，倒影 | 温润、如玉、典雅 | 24
[非遗] @榫卯 | 不用铁钉，斗拱结构，燕尾榫、格肩榫，红松/楠木 | 木棕，极简背景，测光强调咬合缝隙 | 精巧、智慧、古朴 | 24
[非遗] @龙井炒茶 | 提手采，铁锅杀青，揉捻焙火，竹篾匾，茶园 | 翠绿、棕、白，茶园远山，暖黄夕照 | 质朴、传承、匠心 | 24,39
[非遗] @中药炮制 | 切药刀，碾船，铁锅炒药，蒸笼，浸缸，老药工 | 木、铁、棕，作坊天光 | 古朴、专业、匠心 | 24
[非遗] @藏医药 | 曼唐（医学唐卡），金汁银汁书写，珍珠七十，采药青藏高原 | 金、红、蓝，高原，庄严神秘 | 庄严、神秘、智慧 | 24
[非遗] @妈祖 | 湄洲岛妈祖祖庙，金身巡安，船模型，渔民祭拜 | 红、金、蓝，海风浪花，妈祖石像 | 庄严、肃穆、信仰 | 24
[非遗] @那达慕 | 内蒙古，赛马、摔跤、射箭，蒙古包，五彩经幡 | 绿、蓝、白、五彩，草原，正午阳光 | 雄浑、壮阔、热烈 | 24
[非遗] @南音 | 泉州南音，横抱南琶，洞箫，二弦三弦，拍板，汉服 | 淡彩、棕、白，泉州古厝，柔光 | 典雅、古朴、悠扬 | 24
[非遗] @畲族凤凰装 | 凤凰装，红头绳扎髻，银凤冠，彩绣花边，围裙彩带 | 黑、红、银、彩，古廊桥，晨雾 | 民族、华美、精致 | 24,161
[非遗] @惠安石雕 | 花岗岩青石，圆雕龙柱/石狮，影雕，惠安女 | 青灰、黑、白，石粉飞扬，正午阳光 | 硬朗、厚重、精湛 | 24
[非遗] @脱胎漆器 | 福州脱胎漆器，麻布脱胎，漆层厚重，彩漆戗金 | 红、黑、金，聚光灯下漆面反光 | 华丽、轻巧、光泽 | 24
[非遗] @花丝镶嵌 | 金/银抽丝，编织堆垒，镶嵌宝石，累丝工艺 | 金、银、宝石，黑色丝绒背景，侧逆光 | 奢华、精细、宫廷 | 24,161,163
[非遗] @景泰蓝 | 铜胎掐丝珐琅，蓝釉，繁复花纹，鎏金 | 蓝、金、红，博物馆展柜光 | 华丽、繁复、工艺 | 24
[非遗] @玉雕 | 和田玉，俏色雕，镂空，薄胎，龙纹凤纹 | 白玉、青玉，自然光，微距 | 温润、精致、匠心 | 24
[非遗] @竹编 | 四川/浙江，竹丝编织，器皿，图案 | 竹色，自然光，微距 | 质朴、精巧、实用 | 24
[非遗] @漆器 | 雕漆，彩绘，金银平脱，三雕一刻 | 红、黑、金，侧光 | 华丽、繁复、工艺 | 24
[非遗] @蜀锦 | 四川，彩色织锦，花鸟瑞兽，经锦 | 彩、红、绿，织机，柔光 | 华丽、精致、汉韵 | 24,161
[非遗] @宋锦 | 苏州，宋代织锦，几何纹，地纹 | 淡雅色，织机，自然光 | 雅致、古朴、宋韵 | 24
[非遗] @黎锦 | 海南，黎族织锦，人形纹，动物纹 | 黑、红、黄，织机，自然光 | 原始、图腾、民族 | 24
[非遗] @壮锦 | 广西，壮族织锦，几何纹，龙凤纹 | 红、绿、黄，织机，柔光 | 艳丽、粗犷、民族 | 24
[非遗] @苗族银饰 | 贵州，银饰锻制，錾刻，花丝，盛装 | 银、白，苗族村寨，自然光 | 银光、繁复、民族 | 24,161
[非遗] @藏族唐卡 | 彩绘唐卡，金汁银汁，矿物颜料，宗教画 | 金、红、蓝，寺庙，酥油灯 | 神圣、庄严、宗教 | 24,22
[非遗] @热贡艺术 | 青海，唐卡，堆绣，壁画，雕塑 | 彩、金，寺庙，自然光 | 宗教、精细、藏传 | 24
[非遗] @白沙壁画 | 丽江，明代壁画，藏传佛教，纳西风格 | 彩、金，大宝积宫，暖光 | 宗教、历史、融合 | 24
[非遗] @永乐宫壁画 | 山西，元代壁画，道教诸神，朝元图 | 彩、金，永乐宫，自然光 | 庄严、宏大、道教 | 24
[非遗] @敦煌莫高窟壁画 | 甘肃，佛教壁画，飞天，经变画 | 彩、金，石窟，暖光 | 佛教、艺术、历史 | 24
[非遗] @云冈石窟雕塑 | 山西，北魏佛教石刻，大佛，飞天 | 灰石、彩，石窟，自然光 | 宏伟、宗教、石刻 | 24
[非遗] @龙门石窟雕塑 | 河南，唐代佛教石刻，卢舍那大佛 | 灰石，伊河，夕阳 | 庄严、历史、石刻 | 24
[非遗] @大足石刻 | 重庆，宋代佛教石刻，世俗化，生活场景 | 灰石，山林，自然光 | 世俗、生动、宗教 | 24
[非遗] @苏绣 | 苏州，双面绣，乱针绣，小猫金鱼 | 彩丝，绣绷，柔光，微距 | 精细、雅致、江南 | 24,161
[非遗] @湘绣 | 湖南，狮虎绣，鬅毛针，色彩浓艳 | 彩丝，绣绷，自然光 | 浓烈、逼真、霸气 | 24
[非遗] @粤绣 | 广东，金银线绣，百鸟朝凤，构图饱满 | 金线、彩，绣绷，柔光 | 华丽、繁复、岭南 | 24
[非遗] @蜀绣 | 四川，鲤鱼熊猫，丝绒线，晕针 | 彩丝，绣绷，柔光 | 细腻、灵动、国宝 | 24
[非遗] @顾绣 | 上海，顾绣，画绣结合，文人气息 | 淡彩，绣绷，柔光 | 雅致、文人、画意 | 24
[非遗] @缂丝 | 苏州，通经断纬，织中之圣，龙袍补子 | 彩丝，织机，侧光 | 精美、通经、皇家 | 24,161
[非遗] @南京白局 | 南京方言说唱，织锦工人号子，明清市井 | 蓝布衣，茶馆，自然光 | 方言、曲艺、市井 | 24
[非遗] @扬州清曲 | 江苏，清曲，以小唱为主，明清俗曲 | 旗袍，园林，柔光 | 婉转、清雅、曲艺 | 24
[非遗] @四川清音 | 四川，竹鼓、檀板，润腔丰富，女艺人 | 旗袍，茶馆，暖光 | 清脆、润腔、曲艺 | 24
[非遗] @山东快书 | 山东，鸳鸯板，武松传，幽默风趣 | 长衫，快板，茶馆 | 幽默、快节奏、英雄 | 24
[非遗] @陕北说书 | 陕西，三弦，陕北民歌，说唱结合 | 土布衣，黄土坡，自然光 | 粗犷、叙事、民歌 | 24
[非遗] @天津时调 | 天津，靠山调，悲调，鸳鸯调 | 长衫，茶馆，暖光 | 悲凉、曲艺、天津 | 24,39
[非遗] @东北二人转 | 东北，手绢转，扇子，说学逗唱 | 彩衣，手绢，舞台光 | 热闹、幽默、火爆 | 24
[非遗] @上海滑稽戏 | 上海，独脚戏，方言喜剧，社会讽刺 | 西装，布景，舞台光 | 幽默、讽刺、海派 | 24
[非遗] @马街书会 | 河南，正月十三，全国曲艺艺人汇聚，露天说书 | 彩衣，麦田，冬日阳光 | 曲艺、赶会、民俗 | 24
[非遗] @胡集书会 | 山东，元宵节，曲艺汇演，马扎听众 | 彩衣，广场，冬日 | 曲艺、民俗、热闹 | 24
[非遗] @凤阳花鼓 | 安徽，花鼓，双条鼓，民歌小调 | 红绿衣，花鼓，田野 | 欢快、民歌、花鼓 | 24
[非遗] @扎染 | 白族，针扎线绑，靛蓝浸染，展开后冰裂纹 | 蓝、白，棉麻褶皱，自然光 | 朴素、清新、随机 | 24
[非遗] @油纸伞 | 竹骨，皮纸，桐油，大红/古黄，手绘花鸟 | 红、黄、棕，雨巷青石板，柔光 | 江南、诗意、传统 | 24,22
[非遗] @空竹 | 双轮空竹，抖绳，抛接，花式，公园 | 彩竹、红、蓝，正午阳光，动态抓拍 | 灵动、技巧、欢快 | 24,162
[非遗] @土楼 | 圆形/方形，夯土墙，木构内廊，瓦顶，溪水梯田 | 土黄、灰、绿，超广角，晨雾 | 宏大、古朴、家族 | 24
[非遗] @窑洞 | 黄土高原，靠崖式/下沉式，拱形门窗，剪纸窗花 | 黄土、红、白，夕阳暖光 | 古朴、温暖、乡土 | 24
[非遗] @吊脚楼 | 湘西/黔东南，依山而建，木柱悬挑，干栏式，青瓦 | 木棕、青瓦，晨雾，淡彩水墨 | 湘西、民族、悬空 | 24
[非遗] @苗族芦笙制作 | 贵州，芦笙，六管，簧片，吹跳结合 | 竹、铜，作坊，自然光 | 匠心、声音、民族 | 24
[非遗] @侗族木构建筑营造 | 贵州/广西，鼓楼，风雨桥，榫卯，不用铁钉 | 木色，山水，自然光 | 匠人、木构、侗族 | 24
[非遗] @藏族碉楼营造 | 四川/西藏，石砌碉楼，防御，住居 | 石色，高原，逆光 | 宏伟、防御、藏族 | 24
[非遗] @客家土楼营造 | 福建，夯土墙，圆形方形，家族聚居 | 土黄，山林，超广角 | 家族、防御、客家 | 24
[非遗] @蒙古包营造 | 内蒙古，哈那，乌尼，毡帐，游牧 | 白、棕，草原，夕阳 | 游牧、毡帐、蒙古 | 24
[非遗] @黎族船型屋营造 | 海南，茅草屋顶，船型，干栏式 | 茅草，热带雨林，自然光 | 原始、黎族、建筑 | 24

[非遗] @女娲 | 人首蛇身，炼五色石，补天裂，彩石，烈焰云海 | 五彩、红、金，古典工笔画风 | 创世、悲壮、神话 | 24,22,161
[非遗] @后羿 | 弯弓射日，金乌（三足乌），九个太阳，扶桑树 | 金、红、黄，敦煌壁画风格 | 英勇、壮烈、神话 | 24,22,162
[非遗] @精卫 | 女娃化鸟，衔石，东海，波涛汹涌，白喙赤足 | 白、红、蓝，水墨工笔，凄美 | 悲壮、执着、神话 | 24,22,39
[非遗] @牛郎织女 | 七夕，银河，鹊桥，牛郎担挑儿女，织女披羽衣 | 蓝、白、银，星空，浪漫凄美 | 浪漫、凄美、神话 | 24,22,39
[非遗] @孟姜女 | 哭长城，送寒衣，长城崩塌，白骨，悲泣 | 白、灰、红，飞雪漫天 | 悲壮、凄美、传说 | 24,39
[非遗] @梁祝 | 同窗三载，十八相送，化蝶，坟裂，双蝶飞舞 | 彩、白、粉，花丛，夕阳暖光 | 唯美、浪漫、悲剧 | 24,22,39
[非遗] @白蛇传 | 断桥相会，水漫金山，雷峰塔，白蛇青蛇，法海 | 白、青、金，巨浪，戏剧性光影 | 奇幻、悲壮、爱情 | 24,22,39
[非遗] @元宵 | 正月十五，吃元宵/汤圆，赏花灯，猜灯谜，舞龙 | 红、金、彩，秦淮灯会，慢快门光迹 | 喜庆、热闹、团圆 | 24
[非遗] @中秋 | 八月十五，圆月，月饼，柚子，桂花，嫦娥玉兔 | 暖黄、白、金，庭院供桌，烛火摇曳 | 宁静、团圆、思乡 | 24,39
[非遗] @重阳 | 九月初九，登高，赏菊，插茱萸，饮菊花酒，敬老 | 黄、橙、棕，秋日暖阳，远山层林 | 敬老、登高、秋意 | 24
[非遗] @腊八 | 腊月初八，腊八粥（八宝粥），施粥，寺庙，蒜 | 白、红、棕，雪后初晴，热气腾腾 | 温暖、民俗、年味 | 24
[非遗] @八大菜系 | 鲁川粤苏闽浙湘徽，每系代表菜，摆盘精致 | 各色菜色，暖黄聚光灯，美食摄影 | 丰富、美味、地方 | 24
[非遗] @白酒 | 茅台、五粮液等，透明酒液，酒盅，酒坛，酒曲 | 透明、琥珀色，酒窖暖光 | 醇厚、传统、酿造 | 24
[非遗] @黄酒 | 绍兴黄酒，琥珀色，酒壶，温酒炉，茴香豆 | 琥珀色、青花瓷，乌篷船，柔和光 | 温润、传统、江南 | 24
[非遗] @普洱茶 | 云南普洱，茶饼，茶砖，陈化，红浓汤色，茶山 | 红褐、金黄，茶山云雾，侧逆光 | 陈香、醇厚、自然 | 24
[非遗] @大红袍 | 武夷岩茶，乌龙茶，条索紧结，岩韵，茶汤橙黄 | 橙黄、翠绿，武夷山，晨雾 | 岩韵、清香、高雅 | 24
[非遗] @功夫茶 | 潮汕功夫茶，紫砂壶，关公巡城，韩信点兵 | 紫砂、青瓷，茶室，暖光 | 雅致、仪式、禅茶 | 24
[非遗] @香道 | 品香，沉香，香篆，隔火熏香 | 香炉，青烟，中式家具，柔光 | 静心、雅致、嗅觉 | 24
[非遗] @风筝 | 沙燕风筝，龙头蜈蚣，硬翅，竹骨架，绢面彩绘 | 彩绘、红、绿、蓝，蓝天白云，仰拍 | 春日、童趣、飞翔 | 24
[非遗] @布老虎 | 黄色布制，黑条纹，圆眼，胡须，憨态可掬 | 黄、黑、红，自然光，民俗复古 | 憨厚、民俗、守护 | 24
[非遗] @泥叫叫 | 陶泥烧制，彩绘，小鸟/十二生肖，能吹响 | 彩绘、陶土色，木板，自然光 | 童趣、民俗、响声 | 24
